ip,fqdn
37.46.208.233,1.cz.pool.ntp.org
37.48.80.66,2.nl.pool.ntp.org
37.48.81.43,0.europe.pool.ntp.org
37.48.81.43,2.nl.pool.ntp.org
37.48.81.43,3.nl.pool.ntp.org
37.48.81.43,europe.pool.ntp.org
37.48.81.43,nl.pool.ntp.org
37.59.63.125,1.fr.pool.ntp.org
37.59.63.125,2.europe.pool.ntp.org
37.59.63.125,2.fr.pool.ntp.org
37.59.63.125,3.europe.pool.ntp.org
37.59.63.125,europe.pool.ntp.org
37.59.63.125,fr.pool.ntp.org
37.114.40.143,de.pool.ntp.org
37.114.42.119,1.de.pool.ntp.org
37.114.42.119,2.de.pool.ntp.org
37.114.42.119,3.de.pool.ntp.org
37.114.42.119,de.pool.ntp.org
37.120.174.87,0.de.pool.ntp.org
37.120.174.87,1.europe.pool.ntp.org
37.120.174.87,3.de.pool.ntp.org
37.120.174.87,3.europe.pool.ntp.org
37.120.174.87,de.pool.ntp.org
37.120.176.133,2.de.pool.ntp.org
37.120.176.133,de.pool.ntp.org
37.187.27.128,2.fr.pool.ntp.org
37.187.105.73,2.fr.pool.ntp.org
37.187.118.149,0.fr.pool.ntp.org
37.187.118.149,1.fr.pool.ntp.org
37.187.118.149,3.fr.pool.ntp.org
37.187.118.149,fr.pool.ntp.org
37.187.145.181,1.tr.pool.ntp.org
37.187.145.181,3.tr.pool.ntp.org
37.187.145.181,tr.pool.ntp.org
37.204.233.10,3.ru.pool.ntp.org
37.221.195.24,0.de.pool.ntp.org
37.221.195.24,2.de.pool.ntp.org
37.221.199.157,0.de.pool.ntp.org
37.221.199.157,1.de.pool.ntp.org
37.221.199.157,1.europe.pool.ntp.org
37.221.199.157,2.de.pool.ntp.org
37.221.199.157,3.de.pool.ntp.org
